E_minus_EF_eV,energia_meV,DOS_electronica
-45.124,-45124.0,-1.3394824451225246e-81
-45.074,-45074.0,-1.331347660112841e-81
-45.024,-45024.0,-1.3306623429607936e-81
-44.974,-44974.0,-1.318030353101757e-81
-44.92400000000001,-44924.00000000001,-1.3226413658973952e-81
-44.874,-44874.0,-1.3207453878950863e-81
-44.824,-44824.0,-1.311059927982567e-81
-44.774,-44774.0,-1.3186711836249439e-81
-44.724,-44724.0,-1.3080655870482862e-81
-44.67400000000001,-44674.00000000001,-1.3024780726568183e-81
-44.624,-44624.0,-1.3074641909534402e-81
-44.574,-44574.0,-1.3008054020460432e-81
-44.524,-44524.0,-1.300272874339332e-81
-44.474,-44474.0,-1.3002962652201447e-81
-44.42400000000001,-44424.00000000001,-1.296331529502278e-81
-44.374,-44374.0,-1.2927381247386288e-81
-44.324,-44324.0,-1.2899640845198396e-81
-44.274,-44274.0,-1.2807720198447134e-81
-44.224,-44224.0,-1.2876431365481762e-81
-44.17400000000001,-44174.00000000001,-1.2743390712514455e-81
-44.124,-44124.0,-1.2711542139414712e-81
-44.074,-44074.0,-1.276399824420255e-81
-44.024,-44024.0,-1.2736427493849206e-81
-43.974,-43974.0,-1.263661948915485e-81
-43.92400000000001,-43924.00000000001,-1.2705828030287946e-81
-43.874,-43874.0,-1.2673365706035732e-81
-43.824,-43824.0,-1.256518082998775e-81
-43.774,-43774.0,-1.2576049144040287e-81
-43.724,-43724.0,-1.2533470512443722e-81
-43.67400000000001,-43674.00000000001,-1.2478420768023586e-81
-43.624,-43624.0,-1.244371485129554e-81
-43.574,-43574.0,-1.2471031315010468e-81
-43.524,-43524.0,-1.2443207599854535e-81
-43.474,-43474.0,-1.2439580337252038e-81
-43.42400000000001,-43424.00000000001,-1.2353824738029767e-81
-43.374,-43374.0,-1.2302076270815183e-81
-43.324,-43324.0,-1.2300812149997906e-81
-43.274,-43274.0,-1.2257707770590643e-81
-43.224,-43224.0,-1.228581026404722e-81
-43.17400000000001,-43174.00000000001,-1.2185436179872842e-81
-43.124,-43124.0,-1.2213271472540235e-81
-43.074,-43074.0,-1.222151792107707e-81
-43.024,-43024.0,-1.220131525033955e-81
-42.974,-42974.0,-1.2091285473360134e-81
-42.92400000000001,-42924.00000000001,-1.2096306198151914e-81
-42.874,-42874.0,-1.207256534946392e-81
-42.824,-42824.0,-1.2032023441013858e-81
-42.774,-42774.0,-1.1984222367561847e-81
-42.724,-42724.0,-1.2032526782423703e-81
-42.67400000000001,-42674.00000000001,-1.1964405284575434e-81
-42.624,-42624.0,-1.1889904501974862e-81
-42.574,-42574.0,-1.1882900706577703e-81
-42.524,-42524.0,-1.1900545967622094e-81
-42.474,-42474.0,-1.182677234238115e-81
-42.42400000000001,-42424.00000000001,-1.1884210957949064e-81
-42.374,-42374.0,-1.1777278206583846e-81
-42.324,-42324.0,-1.1733754678351876e-81
-42.274,-42274.0,-1.177475314680412e-81
-42.224,-42224.0,-1.1666367790906982e-81
-42.17400000000001,-42174.00000000001,-1.170206623367445e-81
-42.124,-42124.0,-1.1689663855126427e-81
-42.074,-42074.0,-1.1670979296365428e-81
-42.024,-42024.0,-1.167078813417553e-81
-41.974,-41974.0,-1.158957957854062e-81
-41.92400000000001,-41924.00000000001,-1.1523784860331966e-81
-41.874,-41874.0,-1.1498287692844648e-81
-41.824,-41824.0,-1.1486128074570494e-81
-41.774,-41774.0,-1.1519646295578358e-81
-41.724,-41724.0,-1.146977506698779e-81
-41.67400000000001,-41674.00000000001,-1.1406985316291584e-81
-41.624,-41624.0,-1.1390246601910078e-81
-41.574,-41574.0,-1.1426882361796423e-81
-41.524,-41524.0,-1.1309083580641739e-81
-41.474,-41474.0,-1.1312971868297836e-81
-41.42400000000001,-41424.00000000001,-1.128333405751039e-81
-41.374,-41374.0,-1.1318467003225726e-81
-41.324,-41324.0,-1.1201276562826699e-81
-41.274,-41274.0,-1.127861868256999e-81
-41.224,-41224.0,-1.1242926793912752e-81
-41.17400000000001,-41174.00000000001,-1.117362969285316e-81
-41.124,-41124.0,-1.1102643772204155e-81
-41.074,-41074.0,-1.1173929728636143e-81
-41.024,-41024.0,-1.1101706734118288e-81
-40.974,-40974.0,-1.1079822227749606e-81
-40.92400000000001,-40924.00000000001,-1.109536469914295e-81
-40.874,-40874.0,-1.0983287002276255e-81
-40.824,-40824.0,-1.103915370848535e-81
-40.774,-40774.0,-1.096177227111577e-81
-40.724,-40724.0,-1.0964014839409607e-81
-40.67400000000001,-40674.00000000001,-1.08969801159788e-81
-40.624,-40624.0,-1.090887096389393e-81
-40.574,-40574.0,-1.082080675503808e-81
-40.524,-40524.0,-1.0894480169262815e-81
-40.474,-40474.0,-1.0841978713931615e-81
-40.42400000000001,-40424.00000000001,-1.081459053335083e-81
-40.374,-40374.0,-1.0779488828096894e-81
-40.324,-40324.0,-1.072858275169111e-81
-40.274,-40274.0,-1.0684380437443962e-81
-40.224,-40224.0,-1.0658035981803142e-81
-40.17400000000001,-40174.00000000001,-1.068038576568159e-81
-40.124,-40124.0,-1.0631354234140475e-81
-40.074,-40074.0,-1.0626773019417518e-81
-40.024,-40024.0,-1.061342635974183e-81
-39.974,-39974.0,-1.0624512023012104e-81
-39.92400000000001,-39924.00000000001,-1.0504824377617791e-81
-39.874,-39874.0,-1.0480318585818353e-81
-39.824,-39824.0,-1.0477405926573971e-81
-39.774,-39774.0,-1.0470811437569691e-81
-39.724,-39724.0,-1.0458046720181327e-81
-39.67400000000001,-39674.00000000001,-1.0390341781319354e-81
-39.624,-39624.0,-1.0423110041345019e-81
-39.574,-39574.0,-1.0335188716732219e-81
-39.524,-39524.0,-1.0387121264224503e-81
-39.474,-39474.0,-1.0365539919475079e-81
-39.42400000000001,-39424.00000000001,-1.0330250259328148e-81
-39.374,-39374.0,-1.0244271009123388e-81
-39.324,-39324.0,-1.021614191895341e-81
-39.274,-39274.0,-1.0287570853970934e-81
-39.224,-39224.0,-1.0219271771921153e-81
-39.17400000000001,-39174.00000000001,-1.0210569533283192e-81
-39.124,-39124.0,-1.021677074101914e-81
-39.074,-39074.0,-1.0133246995938391e-81
-39.024,-39024.0,-1.0090342226726676e-81
-38.974,-38974.0,-1.0088982984633647e-81
-38.92400000000001,-38924.00000000001,-1.0062200894220903e-81
-38.874,-38874.0,-1.0096731140235186e-81
-38.824,-38824.0,-9.993210346309989e-82
-38.774,-38774.0,-1.0029126734956829e-81
-38.724,-38724.0,-9.964006272533084e-82
-38.67400000000001,-38674.00000000001,-9.964936324935557e-82
-38.624,-38624.0,-9.904130557410885e-82
-38.574,-38574.0,-9.921319575177131e-82
-38.524,-38524.0,-9.855184778230271e-82
-38.474,-38474.0,-9.879135870878824e-82
-38.42400000000001,-38424.00000000001,-9.7987064068218e-82
-38.374,-38374.0,-9.780982784167303e-82
-38.324,-38324.0,-9.818737074442943e-82
-38.274,-38274.0,-9.804644075959114e-82
-38.224,-38224.0,-9.706047731124396e-82
-38.17400000000001,-38174.00000000001,-9.733724090996271e-82
-38.124,-38124.0,-9.717108083666479e-82
-38.074,-38074.0,-9.676196894950732e-82
-38.024,-38024.0,-9.675827105105463e-82
-37.974,-37974.0,-9.619738983857427e-82
-37.92400000000001,-37924.00000000001,-9.584765277931665e-82
-37.874,-37874.0,-9.540720287301907e-82
-37.824,-37824.0,-9.578675378550496e-82
-37.774,-37774.0,-9.515428850043971e-82
-37.724,-37724.0,-9.507813199696371e-82
-37.67400000000001,-37674.00000000001,-9.486492205715259e-82
-37.624,-37624.0,-9.479483268516662e-82
-37.574,-37574.0,-9.477268786996171e-82
-37.524,-37524.0,-9.45929959379485e-82
-37.474,-37474.0,-9.424566512465735e-82
-37.42400000000001,-37424.00000000001,-9.37466321543885e-82
-37.374,-37374.0,-9.324423252416744e-82
-37.324,-37324.0,-9.369940173350768e-82
-37.274,-37274.0,-9.299975828870233e-82
-37.224,-37224.0,-9.251472354305711e-82
-37.17400000000001,-37174.00000000001,-9.285406169522276e-82
-37.124,-37124.0,-9.272454397931208e-82
-37.074,-37074.0,-9.22701899365966e-82
-37.024,-37024.0,-9.191207378801139e-82
-36.974,-36974.0,-9.137104129077727e-82
-36.92400000000001,-36924.00000000001,-9.197070810274079e-82
-36.874,-36874.0,-9.162011518036967e-82
-36.824,-36824.0,-9.094284038796539e-82
-36.774,-36774.0,-9.113229843719263e-82
-36.724,-36724.0,-9.071152283925733e-82
-36.67400000000001,-36674.00000000001,-9.086928831660518e-82
-36.624,-36624.0,-9.012736765811032e-82
-36.574,-36574.0,-9.014773097071508e-82
-36.524,-36524.0,-8.970479126110747e-82
-36.474,-36474.0,-8.985582017314559e-82
-36.42400000000001,-36424.00000000001,-8.922421653750217e-82
-36.374,-36374.0,-8.943914082749725e-82
-36.324,-36324.0,-8.892378494979735e-82
-36.274,-36274.0,-8.854940211037616e-82
-36.224,-36224.0,-8.845831209399957e-82
-36.17400000000001,-36174.00000000001,-8.874129010382871e-82
-36.124,-36124.0,-8.781040614313019e-82
-36.074,-36074.0,-8.78830236579339e-82
-36.024,-36024.0,-8.754452735328887e-82
-35.974000000000004,-35974.00000000001,-8.746191855710188e-82
-35.92400000000001,-35924.00000000001,-8.727393121573221e-82
-35.874,-35874.0,-8.742026684309548e-82
-35.824,-35824.0,-8.651310690067923e-82
-35.774,-35774.0,-8.642042766092066e-82
-35.724000000000004,-35724.00000000001,-8.686391913328224e-82
-35.67400000000001,-35674.00000000001,-8.651727979087635e-82
-35.624,-35624.0,-8.628813092098026e-82
-35.574,-35574.0,-8.545680205028172e-82
-35.524,-35524.0,-8.5966675686851e-82
-35.474000000000004,-35474.00000000001,-8.550978160187365e-82
-35.42400000000001,-35424.00000000001,-8.53374260377196e-82
-35.374,-35374.0,-8.464595282497358e-82
-35.324,-35324.0,-8.508966043244002e-82
-35.274,-35274.0,-8.441528019064288e-82
-35.224000000000004,-35224.00000000001,-8.447913375703535e-82
-35.17400000000001,-35174.00000000001,-8.449507914114289e-82
-35.124,-35124.0,-8.366659930499773e-82
-35.074,-35074.0,-8.363969216472917e-82
-35.024,-35024.0,-8.386912386907536e-82
-34.974000000000004,-34974.00000000001,-8.358103891948179e-82
-34.92400000000001,-34924.00000000001,-8.327062603120476e-82
-34.874,-34874.0,-8.323518154394546e-82
-34.824,-34824.0,-8.297614653770462e-82
-34.774,-34774.0,-8.582595244640582e-82
-34.724000000000004,-34724.00000000001,-5.535800956132024e-81
-34.67400000000001,-34674.00000000001,-6.797087542308084e-79
-34.624,-34624.0,-9.167348395950341e-77
-34.574,-34574.0,-1.1495853765051785e-74
-34.524,-34524.0,-1.3404746986406877e-72
-34.474000000000004,-34474.00000000001,-1.4731146867836312e-70
-34.42400000000001,-34424.00000000001,-1.516482452503409e-68
-34.374,-34374.0,-1.4427354322558565e-66
-34.324,-34324.0,-1.2905200340664092e-64
-34.274,-34274.0,-1.0775215403830374e-62
-34.224000000000004,-34224.00000000001,-8.420291604032725e-61
-34.17400000000001,-34174.00000000001,-6.1903641015293085e-59
-34.124,-34124.0,-4.221072811424425e-57
-34.074,-34074.0,-2.6987725022298926e-55
-34.024,-34024.0,-1.611922078423919e-53
-33.974000000000004,-33974.00000000001,-8.961240882023104e-52
-33.92400000000001,-33924.00000000001,-4.645541606082063e-50
-33.874,-33874.0,-2.2664945739188468e-48
-33.824,-33824.0,-1.0366392558416001e-46
-33.774,-33774.0,-4.39941293433072e-45
-33.724000000000004,-33724.00000000001,-1.7381541296389896e-43
-33.674,-33674.0,-6.444644179929109e-42
-33.624,-33624.0,-2.255210532002599e-40
-33.574,-33574.0,-7.308581682776243e-39
-33.524,-33524.0,-2.2031730417925755e-37
-33.474000000000004,-33474.00000000001,-6.224941914582316e-36
-33.424,-33424.0,-1.6479806389717761e-34
-33.374,-33374.0,-4.091390372835316e-33
-33.324,-33324.0,-9.511548091953099e-32
-33.274,-33274.0,-2.0550244826708143e-30
-33.224000000000004,-33224.00000000001,-4.139296252675182e-29
-33.174,-33174.0,-7.769840240763611e-28
-33.124,-33124.0,-1.3710604228192155e-26
-33.074,-33074.0,-2.2658543422457046e-25
-33.024,-33024.0,-3.490280231865679e-24
-32.974000000000004,-32974.00000000001,-4.990720459811096e-23
-32.924,-32924.0,-6.693300376665726e-22
-32.874,-32874.0,-8.464936778789957e-21
-32.824,-32824.0,-9.876982286073929e-20
-32.774,-32774.0,-1.0845072991389562e-18
-32.724000000000004,-32724.000000000004,-1.1108129354731095e-17
-32.674,-32674.0,-1.064737542385526e-16
