frecuencia_THz,energia_meV,DOS_original,DOS_nueva
0.5996219901041318,2.4798372941748092,0.0016773638121,0.0016391963336304318
0.6121141148861011,2.531500571087707,0.0017499258285,0.001736727512425537
0.6246062396980495,2.5831638481245895,0.0018059085231,0.0017882889110746405
0.6370983644800189,2.6348271250374875,0.0018302878598,0.0018335609383547937
0.6495904892619883,2.686490401950386,0.0018638847714,0.0019054619656398441
0.6620826140739366,2.738153678987268,0.0019305747245,0.0019619899647205703
0.674574738855906,2.789816955900166,0.0020027959389,0.002006049874893153
0.6870668636678546,2.8414802329370485,0.0020679523171,0.0020226019396111976
0.6995589884498238,2.8931435098499465,0.002127019304,0.0021243159121593176
0.7120511132317932,2.944806786762845,0.0021728751291,0.002188107519758226
0.7245432380437417,2.996470063799727,0.0022156264343,0.0022737729302754186
0.7370353628257109,3.048133340712625,0.0022960011471,0.0022525851166625096
0.7495274876376595,3.0997966177495075,0.0023586647049,0.0023758206206465913
0.7620196124196288,3.1514598946624055,0.0023980391429,0.002408879456955646
0.774511737201598,3.2031231715753035,0.0024687901409,0.002527199902552549
0.7870038620135467,3.254786448612186,0.0025534229422,0.002604808285308587
0.7994959867955159,3.3064497255250838,0.00258089917,0.0025746003405045016
0.8119881115774852,3.358113002437982,0.0026293972874,0.0025722012998611126
0.8244802363894338,3.4097762794748645,0.0026850635743,0.002662595061790892
0.8369723611714031,3.4614395563877625,0.0027544198499,0.0027176454817788255
0.8494644859833516,3.513102833424645,0.00282546893,0.002896515277952237
0.8619566107653209,3.564766110337543,0.0029251928799,0.0028516423532273746
0.8744487355472902,3.616429387250441,0.0029723539737,0.0029671171061601224
0.8869408603592387,3.6680926642873235,0.002998396867,0.00293362835490158
0.8994329851412081,3.7197559412002215,0.0030684401435,0.0030362437822176827
0.9119251099531566,3.771419218237104,0.0031561722287,0.003213375487675102
0.9244172347351258,3.8230824951500018,0.0032463355079,0.0032059817883527877
0.9369093595170951,3.8747457720628997,0.003301930815,0.003206686999255893
0.9494014843290437,3.926409049099782,0.0033480607323,0.003441008756853372
0.961893609111013,3.9780723260126805,0.003401649732,0.003386348100797839
0.9743857339229616,4.029735603049563,0.0034812734596,0.0033931399872246825
0.9868778587049308,4.081398879962461,0.0035515036504,0.0034941244529360076
0.9993699834869,4.133062156875359,0.003617550543,0.0035305912695495676
1.0118621082988486,4.1847254339122415,0.0037004119331,0.0038053757052205
1.024354233080818,4.23638871082514,0.0037704531465,0.0036795394703725923
1.0368463578927665,4.288051987862022,0.0038463084915,0.0038290825578586214
1.0493384826747358,4.33971526477492,0.0039147810603,0.0040063707657589966
1.061830607456705,4.391378541687818,0.0039653563555,0.003918605946589603
1.0743227322686537,4.4430418187247005,0.0040330146138,0.003949834242140007
1.0868148570506229,4.494705095637598,0.0041229461894,0.004151220029314449
1.099306981832592,4.546368372550496,0.004210118453,0.0041868738654355225
1.1117991066445407,4.598031649587378,0.0042729087237,0.004332704321782361
1.12429123142651,4.649694926500278,0.0043221256104,0.004288638932600784
1.1367833562384584,4.701358203537159,0.00442452514,0.004296634010649372
1.149275481020428,4.753021480450058,0.0045110383232,0.004428474108660924
1.1617676058023971,4.804684757362955,0.0046093140161,0.00447607869580639
1.1742597306143456,4.856348034399838,0.0046776623789,0.004569272347904335
1.186751855396315,4.908011311312736,0.0047219742198,0.004684828658213734
1.1992439802082635,4.9596745883496185,0.0047894206955,0.004930084770471334
1.2117361049902327,5.011337865262516,0.0048995873844,0.005041213131651777
1.2242282297722022,5.063001142175414,0.0049863442114,0.004954287490931021
