E_minus_EF_eV,energia_meV,DOS_electronica
-6.022,-6022.0,0.2827451881954904
-5.972,-5972.0,0.2845677815880041
-5.922000000000001,-5922.000000000001,0.2844094648814769
-5.872,-5872.0,0.2834976157359383
-5.822,-5822.0,0.2765765043313515
-5.772,-5772.0,0.2738783659477945
-5.722,-5722.0,0.2703202885869406
-5.672000000000001,-5672.000000000001,0.2713159254366001
-5.622,-5622.0,0.2738322899672006
-5.572,-5572.0,0.2805599953297835
-5.522,-5522.0,0.288288129455908
-5.472,-5472.0,0.2966543513212336
-5.422000000000001,-5422.000000000001,0.3015582189257565
-5.372,-5372.0,0.3033556742936552
-5.322,-5322.0,0.3035972141510603
-5.272,-5272.0,0.303793470158472
-5.222,-5222.0,0.2987955931513839
-5.172000000000001,-5172.000000000001,0.2941323487025499
-5.122,-5122.0,0.2890489905652996
-5.072,-5072.0,0.2869769723373798
-5.022,-5022.0,0.2878260429848129
-4.972,-4972.0,0.2930783881975327
-4.922000000000001,-4922.000000000001,0.2996658290563327
-4.872,-4872.0,0.3110310968806501
-4.822,-4822.0,0.3211101423458999
-4.772,-4772.0,0.3273490072651547
-4.722,-4722.0,0.3315909680391284
-4.672000000000001,-4672.000000000001,0.3289278304907357
-4.622,-4622.0,0.3236873493290317
-4.572,-4572.0,0.3155167068640894
-4.522,-4522.0,0.3079337978433007
-4.472,-4472.0,0.3048993609463224
-4.422000000000001,-4422.000000000001,0.3039541870540679
-4.372,-4372.0,0.3038821907822251
-4.322,-4322.0,0.3085938773856018
-4.272,-4272.0,0.3168707345409624
-4.222,-4222.0,0.3232091514971512
-4.172000000000001,-4172.000000000001,0.3307041212866099
-4.122,-4122.0,0.336484039616853
-4.072,-4072.0,0.3428167898717441
-4.022,-4022.0000000000005,0.3438640289749972
-3.972,-3972.0,0.3412905912787857
-3.922,-3922.0,0.3390444051173838
-3.872,-3872.0,0.3330636203174217
-3.822,-3822.0,0.325312323729431
-3.772,-3772.0,0.3209113823834127
-3.722,-3722.0,0.3178579659245118
-3.672,-3672.0,0.3212993229809484
-3.622,-3622.0,0.3295769054169156
-3.572,-3572.0,0.338828656691399
-3.522,-3522.0,0.3513996247586529
-3.4720000000000004,-3472.0000000000005,0.3616466448041027
-3.422,-3422.0,0.3708506966794959
-3.372,-3372.0,0.3729977450988648
-3.322,-3322.0,0.3710550795456661
-3.272,-3272.0,0.3661905086261847
-3.2220000000000004,-3222.0000000000005,0.3613426503163816
-3.172,-3172.0,0.3538656585425466
-3.122,-3122.0,0.351394728231892
-3.072,-3072.0,0.3519866732557939
-3.022,-3022.0,0.3556970832953801
-2.9720000000000004,-2972.0000000000005,0.3636593466346274
-2.922,-2922.0,0.3726835145413798
-2.872,-2872.0,0.3853405478239667
-2.822,-2822.0,0.3923186536933125
-2.772,-2772.0,0.3992040833102862
-2.7220000000000004,-2722.0000000000005,0.3986250814031079
-2.672,-2672.0,0.3948108610842853
-2.622,-2622.0,0.3892290851310796
-2.572,-2572.0,0.3817908420243824
-2.522,-2522.0,0.3742953396662021
-2.4720000000000004,-2472.0000000000005,0.370421833023488
-2.422,-2422.0,0.3652739835167582
-2.372,-2372.0,0.364874346671313
-2.322,-2322.0,0.3594843936477837
-2.272,-2272.0,0.3544575466813453
-2.2220000000000004,-2222.0000000000005,0.3479787460063858
-2.172,-2172.0,0.3459258184121866
-2.122,-2122.0,0.3461448042854675
-2.072,-2072.0,0.348911438564225
-2.022,-2021.9999999999998,0.3550103808023519
-1.9720000000000004,-1972.0000000000005,0.3621414061984568
-1.922,-1922.0,0.3675132143330678
-1.872,-1872.0,0.3681530836030798
-1.822,-1822.0,0.3623649271852467
-1.7720000000000002,-1772.0000000000002,0.3556744040611967
-1.7220000000000004,-1722.0000000000005,0.3462372662768815
-1.6719999999999997,-1671.9999999999998,0.3410988589921391
-1.622,-1622.0,0.3374658964913637
-1.572,-1572.0,0.3377995432396102
-1.5220000000000002,-1522.0000000000002,0.3390824382595973
-1.4720000000000004,-1472.0000000000005,0.3446096136541168
-1.4219999999999997,-1421.9999999999998,0.3524969654485517
-1.372,-1372.0,0.3626695116209103
-1.322,-1322.0,0.3720534380865505
-1.2720000000000002,-1272.0000000000002,0.3794809456554912
-1.2220000000000004,-1222.0000000000005,0.3856077455468546
-1.1719999999999997,-1171.9999999999998,0.393791785720754
-1.122,-1122.0,0.3960540601788612
-1.072,-1072.0,0.3996937699705919
-1.0220000000000002,-1022.0000000000002,0.4006331991367627
-0.9720000000000004,-972.0000000000005,0.3974836374281237
-0.9219999999999996,-921.9999999999995,0.3975631051941599
-0.8719999999999999,-871.9999999999999,0.3942171806532218
-0.8220000000000001,-822.0000000000001,0.3919250464183932
-0.7720000000000002,-772.0000000000002,0.3886121330588267
-0.7220000000000004,-722.0000000000005,0.3846206856066221
-0.6719999999999997,-671.9999999999997,0.3770596176739595
-0.6219999999999999,-621.9999999999999,0.370452157044275
-0.5720000000000001,-572.0000000000001,0.3641814782923144
-0.5220000000000002,-522.0000000000002,0.3609413608791476
-0.4720000000000004,-472.0000000000004,0.3633012548247884
-0.4219999999999997,-421.9999999999997,0.3692376548148827
-0.3719999999999999,-371.9999999999999,0.3789614420444541
-0.322,-322.0,0.3909619902679709
-0.2720000000000002,-272.00000000000017,0.402298703310792
-0.2220000000000004,-222.0000000000004,0.412056898846879
-0.1719999999999997,-171.99999999999972,0.4188297232020306
-0.1219999999999998,-121.9999999999998,0.4177583444371645
-0.072,-72.0,0.4106659587187072
-0.0220000000000002,-22.0000000000002,0.4008824585223305
0.0279999999999995,27.999999999999503,0.3915371691819482
0.0780000000000002,78.0000000000002,0.3838920225607198
0.1279999999999992,127.9999999999992,0.3826590594079339
0.1779999999999999,177.99999999999991,0.3823787606594972
0.2280000000000006,228.0000000000006,0.3871874935750655
0.2779999999999996,277.9999999999996,0.3981287964374513
0.3280000000000003,328.0000000000003,0.4122736209079646
0.3779999999999992,377.9999999999992,0.4273417832440922
0.4279999999999999,427.9999999999999,0.441187397411018
0.4780000000000006,478.00000000000057,0.4498490838936762
0.5279999999999996,527.9999999999995,0.4535640496417771
0.5780000000000003,578.0000000000003,0.4521975948856802
0.6279999999999992,627.9999999999992,0.4466247104437348
0.6779999999999999,677.9999999999999,0.4354505893940392
0.7280000000000006,728.0000000000007,0.4213223876489521
0.7779999999999996,777.9999999999995,0.4111188926520419
0.8280000000000003,828.0000000000003,0.4002876758442223
0.8779999999999992,877.9999999999992,0.394479984593804
0.928,928.0,0.3908087099146994
0.9780000000000006,978.0000000000007,0.3864034228673012
1.0279999999999996,1027.9999999999995,0.3893484952504656
1.0780000000000003,1078.0000000000002,0.3968319857220261
1.1279999999999992,1127.9999999999993,0.410381019251494
1.178,1178.0,0.4234241832118156
1.2280000000000006,1228.0000000000007,0.4378291145815278
1.2779999999999996,1277.9999999999995,0.4541068891952248
1.3280000000000003,1328.0000000000002,0.4650849639307008
1.3779999999999992,1377.9999999999993,0.4712014357794673
1.428,1428.0,0.4686840643051653
1.4780000000000006,1478.0000000000007,0.4578413898866554
1.5279999999999996,1527.9999999999995,0.447128482636985
1.5780000000000003,1578.0000000000002,0.4300078363260889
1.6279999999999992,1627.9999999999993,0.4090695921226328
1.678,1678.0,0.39873221444601
1.7280000000000006,1728.0000000000007,0.3898166595301503
1.7779999999999996,1777.9999999999995,0.3935800037452812
1.8280000000000003,1828.0000000000002,0.4087546457205908
1.8779999999999992,1877.9999999999993,0.4259677940764467
1.928,1928.0,0.4492651033840031
1.9780000000000009,1978.000000000001,0.4665923767767099
2.028,2028.0,0.4829859995756443
2.0780000000000003,2078.0000000000005,0.4842943094575133
2.1279999999999992,2127.999999999999,0.478758534314893
2.178,2178.0,0.4683771505622888
2.2280000000000006,2228.0000000000005,0.4598518109743342
2.278,2278.0,0.4479766525765624
2.3280000000000003,2328.0000000000005,0.4420715513892752
2.3779999999999992,2377.999999999999,0.4404369210842536
2.428,2428.0,0.4398938407246123
2.4780000000000006,2478.0000000000005,0.4419249609968707
2.528,2528.0,0.4452872537794257
2.5780000000000003,2578.0000000000005,0.4502031758034855
2.6279999999999992,2627.999999999999,0.4496506651199596
2.678,2678.0,0.4538154848950502
2.7280000000000006,2728.0000000000005,0.4568118398055905
2.778,2778.0,0.4608371769043344
2.8280000000000003,2828.0000000000005,0.4669464469691529
2.8779999999999992,2877.999999999999,0.4739912391127905
2.928,2928.0,0.4796710862392983
2.9780000000000006,2978.0000000000005,0.4781550762375336
3.028,3028.0,0.474943124871693
3.0780000000000003,3078.0000000000005,0.4703572364670884
3.1279999999999992,3127.999999999999,0.469855460505271
3.178,3178.0,0.4660401609826213
3.2280000000000006,3228.0000000000005,0.4707882185465427
3.278,3278.0,0.4773862314227095
3.3280000000000003,3328.0000000000005,0.4787759678701527
3.3779999999999992,3377.999999999999,0.4870388079547444
3.428,3428.0,0.4859464357066376
3.4780000000000006,3478.0000000000005,0.4816830287311506
3.528,3528.0,0.4740899291551159
3.5780000000000003,3578.0000000000005,0.4680938999388217
3.6279999999999992,3627.999999999999,0.4639147843329221
3.678,3678.0,0.462817736468436
3.7280000000000006,3728.0000000000005,0.4656320607069472
3.778,3778.0,0.4780790476973189
3.828,3828.0,0.488354425361308
3.8779999999999992,3877.999999999999,0.5033625969579274
3.928,3928.0,0.5077694919159825
3.9780000000000006,3978.0000000000005,0.5127097346449108
4.028,4027.9999999999995,0.516744741055073
4.078,4078.0000000000005,0.5106561262952931
4.127999999999999,4127.999999999999,0.506096141123595
4.178,4178.0,0.5002260741687979
4.228000000000001,4228.000000000001,0.4974579913046671
4.278,4278.0,0.4907336926557034
4.328,4328.0,0.4870551250413634
4.377999999999999,4377.999999999999,0.4786878336933045
4.428,4428.0,0.4784357077267416
4.478000000000001,4478.000000000001,0.4833064810413047
4.528,4528.0,0.4886725109242187
4.578,4578.0,0.4994687966996897
4.627999999999999,4627.999999999999,0.513941468093983
4.678,4678.0,0.527117857293969
4.728000000000001,4728.000000000001,0.5382113967241656
4.778,4778.0,0.5403812453945034
4.828,4828.0,0.5426817119684015
4.877999999999999,4877.999999999999,0.5381343616532034
4.928,4928.0,0.5294512404741017
4.978000000000001,4978.000000000001,0.525603049537684
5.028,5028.0,0.5192859918507503
5.078,5078.0,0.5173913054825675
5.127999999999999,5127.999999999999,0.518355737334501
5.178,5178.0,0.5198246541134874
5.228000000000001,5228.000000000001,0.5206906249262695
5.278,5278.0,0.5238795633261257
5.328,5328.0,0.532377559515237
5.377999999999999,5377.999999999999,0.5414841230175034
5.428,5428.0,0.5525425324446838
5.478000000000001,5478.000000000001,0.572180290982285
5.528,5528.0,0.5877094689296967
5.578,5578.0,0.6002583052378704
5.627999999999999,5627.999999999999,0.6092394982060687
5.678,5678.0,0.6081746757064505
5.728000000000001,5728.000000000001,0.6026630077273158
5.778,5778.0,0.5887498703750479
5.828,5828.0,0.5739984721597167
5.877999999999999,5877.999999999999,0.5642166477051807
5.928,5928.0,0.5594953710771651
5.978000000000001,5978.000000000001,0.5605350404504973
6.028,6028.0,0.5656766197259979
6.078,6078.0,0.5747633408293503
6.127999999999999,6127.999999999999,0.5783271891678464
