energia_eV,E_minus_EF_eV,energia_meV,DOS_electronica
-12.26,-21.183999999999997,-21183.999999999996,0.0
-12.24,-21.164,-21164.0,0.0
-12.22,-21.144,-21144.0,0.0
-12.2,-21.124,-21124.0,0.0
-12.18,-21.104,-21104.0,0.0
-12.16,-21.084,-21084.0,0.0
-12.14,-21.064,-21064.0,0.0
-12.12,-21.043999999999997,-21043.999999999996,0.0
-12.1,-21.024,-21024.0,0.0
-12.08,-21.003999999999998,-21003.999999999996,0.0
-12.06,-20.984,-20984.0,0.0
-12.04,-20.964,-20964.0,0.0
-12.02,-20.944,-20944.0,0.0
-12.0,-20.924,-20924.0,0.0
-11.98,-20.904,-20904.0,0.0
-11.96,-20.884,-20884.0,0.0
-11.94,-20.863999999999997,-20863.999999999996,0.0
-11.92,-20.844,-20844.0,0.0
-11.9,-20.823999999999998,-20823.999999999996,0.0
-11.88,-20.804000000000002,-20804.000000000004,0.0
-11.86,-20.784,-20784.0,0.0
-11.84,-20.764,-20764.0,0.0
-11.82,-20.744,-20744.0,0.0
-11.8,-20.724,-20724.0,0.0
-11.78,-20.704,-20704.0,0.0
-11.76,-20.683999999999997,-20683.999999999996,0.0
-11.74,-20.664,-20664.0,0.0
-11.72,-20.644,-20644.0,0.0
-11.7,-20.624,-20624.0,0.0
-11.68,-20.604,-20604.0,0.0
-11.66,-20.584,-20584.0,0.0
-11.64,-20.564,-20564.0,0.0
-11.62,-20.543999999999997,-20543.999999999996,0.0
-11.6,-20.524,-20524.0,0.0
-11.58,-20.503999999999998,-20503.999999999996,0.0
-11.56,-20.484,-20484.0,0.0
-11.54,-20.464,-20464.0,0.0
-11.52,-20.444,-20444.0,0.0
-11.5,-20.424,-20424.0,0.0
-11.48,-20.404,-20404.0,0.0
-11.46,-20.384,-20384.0,0.0
-11.44,-20.363999999999997,-20363.999999999996,0.0
-11.42,-20.344,-20344.0,0.0
-11.4,-20.323999999999998,-20323.999999999996,0.0
-11.38,-20.304000000000002,-20304.000000000004,0.0
-11.36,-20.284,-20284.0,0.0
-11.34,-20.264,-20264.0,0.0
-11.32,-20.244,-20244.0,0.0
-11.3,-20.224,-20224.0,0.0
-11.28,-20.204,-20204.0,0.0
-11.26,-20.183999999999997,-20183.999999999996,0.0
-11.24,-20.164,-20164.0,0.0
-11.22,-20.144,-20144.0,0.0
-11.2,-20.124,-20124.0,0.0
-11.18,-20.104,-20104.0,0.0
-11.16,-20.084,-20084.0,0.0
-11.14,-20.064,-20064.0,0.0
-11.12,-20.043999999999997,-20043.999999999996,0.0
-11.1,-20.024,-20024.0,0.0
-11.08,-20.003999999999998,-20003.999999999996,0.0
-11.06,-19.984,-19984.0,0.0
-11.04,-19.964,-19964.0,0.0
-11.02,-19.944,-19944.0,0.0
